source,target
"কম - দামীরা সকলেই বিক্রি করে ফটকিরি সাবান , ছাই , চক , ডারবিশায়ারের পাথ র চুর্ণ ও মেশানর উপযোগী ও অনুপযোগী ভোজাল - মেশানো রুটি ।","কম - দামীরা সকলেই বিক্রি করে ফটকিরি সাবান , ছাই , চক , ডারবিশায়ারের পাথর চুর্ণ ও মেশানর উপযোগী ও অনুপযোগী ভোজাল - মেশানো রুটি ।"
"আর মমতা যে সবধিক দিয়েই তোমার যোগ্য, একথাও বলা বাহুল্য। ও পৈতৃক সুবাদে রভল কোম্পানিতে চাকরি।","আর মমতা যে সবধিক দিয়েই তোমার যোগ্য, একথাও বলা বাহুল্য। ও পৈতৃক সুবাদে রভল কোম্পানিতে চাকরি।"
"মায়া যখন পারুলদদের বাড়ি থাকিবে , এ বাড়িও তখন এমনই নিস্তব্ধ ছিল , তবু কোনও খারাপ লাগা তার ছিল না ।","মায়া যখন পারুলদের বাড়ি থাকিবে , এ বাড়িও তখন এমনই নিস্তব্ধ ছিল , তবু কোনও খারাপ লাগা তার ছিল না ।"
"ও আমার যথেষ্ট ছিল , ও নিয়েই আছি , ও নিয়েই ভারতবর্ষের অজ্ঞাতবাসে াঁচি ।","ও আমার যথেষ্ট ছিল , ও নিয়েই আছি , ও নিয়েই ভারতবর্ষের অজ্ঞাতবাসে বাঁচি ।"
"মোট ক্ষটি প্রস্তুতকারকদের থেকে কম - দামী’আই চার ভাগের তিন ভাগ । এবং তারপরে পাওয়া হোক বা না হোক , রবীন্দ্রনাথের বেলায় কিন্তু অবশ্য সামনে পিছনের ব্যাপার থাকিবে না , যা দেখেছি যা শুনেছি সবই হল , আমি উঁচুতে , তুমি নিচুতে ।","মোট ক্ষটি প্রস্তুতকারকদের থেকে কম - দামী’আই চার ভাগের তিন ভাগ । এবং তারপরে পাওয়া হোক বা না হোক , রবীন্দ্রনাথের বেলায় কিন্তু অবশ্য সামনে পিছনের ব্যাপার থাকিবে না , যা দেখেছি যা শুনেছি সবই হল , আমি উঁচুতে , তুমি নিচুতে ।"
বি বাহের পরে এ কাঋ আরম্ভ করা অসম্ভব।,বিবাহের পরে এ কাঋ আরম্ভ করা অসম্ভব।
"এ আমার একার কিছু নয় , আমার পাশে ওরা নয় , বরং ওদেরই পাশে , ওই অবস্থান ধর্মমঘটের পাশে , অনশনের পাশে , ওই মিছিলের মানুষের পাশে , ভারতবর্ষের পাশে , আমি ছিলাম , দূর কারাবাস থেকেও আছি , ঘোর অনিশ্চয়তা আর অন্ধকার থেকেও আছি পাশে ।","এ আমার একার কিছু নয় , আমার পাশে ওরা নয় , বরং ওদেরই পাশে , ওই অবস্থান ধর্মঘটের পাশে , অনশনের পাশে , ওই মিছিলের মানুষের পাশে , ভারতবর্ষের পাশে , আমি ছিলাম , দূর কারাবাস থেকেও আছি , ঘোর অনিশ্চয়তা আর অন্ধকার থেকেও আছি পাশে ।"
পিতটরেল কোম্পানিতে বড়ো রকমর একটি হেডক্লার্ক ছিলেন।,পিতট রেল কোম্পানিতে বড়ো রকমের একটি হেডক্লার্ক ছিলেন।
"এ বইমেলা কোনোকলেই ঠিক বইমেলা থাকিবে না আমার কাছে , ছিল প্রাণের মেলা ।","এ বইমেলা কোনোকালেই ঠিক বইমেলা থাকিবে না আমার কাছে , ছিল প্রাণের মেলা ।"
"যেহেতু এখন যার কাজ শ্রমের সামাজিক বিভাজনের দ্বারা প্রতিষ্ঠিত এককটি প্রণালীর অংশমাত্র , সে আর প্রত্যক্ষভাবে যেই সব আবশ্যিক দ্রব্য উৎপাদন করে না , যেগুলি সে নিজে পরিভোগ করে , পরিবর্তে সে উৎপাদন করে একটি মাত্র পণ্য , যেমন সুতো , তার মূল্য ঐ আবশ্যিক ।","যেহেতু এখন যার কাজ শ্রমের সামাজিক বিভাজনের দ্বারা প্রতিষ্ঠিত একটি প্রণালীর অংশমাত্র , সে আর প্রত্যক্ষভাবে যেই সব আবশ্যিক দ্রব্য উৎপাদন করে না , যেগুলি সে নিজে পরিভোগ করে , পরিবর্তে সে উৎপাদন করে একটি মাত্র পণ্য , যেমন সুতো , তার মূল্য ঐ আবশ্যিক ।"
"একসময় যে মানুষটি আমার খুব কাছের মানুষ থাকিবেন , সেই নিখিল সরকারেরও শুনি ফুসফুসেক্যানসার হয়েছে ।","একসময় যে মানুষটি আমার খুব কাছের মানুষ থাকিবেন , সেই নিখিল সরকারেরও শুনি ফুসফুসে ক্যানসার হয়েছে ।"
"নিশ্চয়ই থাকিবে , এবং এখনও আছে । এবং গোবিৃ্দ যখন খোঁজখবর নিয়ে এক সপ্তাহের চেষ্টায় সেটাকে আবিষ্কার করলো তখন কেউ জানতোনা একটি পুঁথির এমন বিরাট শক্তি থাকতে পারে।","নিশ্চয়ই থাকিবে , এবং এখনও আছে । এবং গোবিৃ্দ যখন খোঁজখবর নিয়ে এক সপ্তাহের চেষ্টায় সেটাকে আবিষ্কার করলো তখন কেউ জানতোনা একটি পুঁথির এমন বিরাট শক্তি থাকতে পারে।"
"মাটিতেপাতা দুখানা লোহার উপর দিয়ে প্রকাণ্ড প্রচণ্ড স্পেশ্যালগুলি যেমন গড়িয়ে যায়, তেমনি চললো গোবিন্দর পফিস-পুঁথির লাইনে লাইনে।","মাটিতে পাতা দুখানা লোহার উপর দিয়ে প্রকাণ্ড প্রচণ্ড স্পেশ্যালগুলি যেমন গড়িয়ে যায়, তেমনি চললো গোবিন্দর পফিস-পুঁথির লাইনে লাইনে।"
"শামীম সিকদারের বিশাল বিশাল ভাস্কর্য ঢাকা শহরের অনেক জায়গায় মাথা উঁচু করে দাঁড়িয়ে িল , যেমন দাঁড়িয়ে আছেন শামীম শিকদার নিজের অবস্থানে ।","শামীম সিকদারের বিশাল বিশাল ভাস্কর্য ঢাকা শহরের অনেক জায়গায় মাথা উঁচু করে দাঁড়িয়ে ছিল , যেমন দাঁড়িয়ে আছেন শামীম শিকদার নিজের অবস্থানে ।"
স্বাস্থ্যবান নৃ-শাখাগুলিরসঙ্গে এদের বৈবাহিক সম্পর্ক।,স্বাস্থ্যবান নৃ-শাখাগুলির সঙ্গে এদের বৈবাহিক সম্পর্ক।
"মানুষটি আছে , ছিল যখন , মানুষটিকে ভালবাসার কথা কোনও মানুষ ভাবেনি । এবং তারপরে যে-পণ্যটি আমি তোমার কাছে বিক্রি করেছি, তা এই ব্যাপারে বাকি সমস্ত পণ্য থেকে আলাদা যে আমরা এই পণ্যটি সৃষ্টি করে ব্যবহার-মূল্য এবং এমন একটি মূল্য যা তার নিজের মূল্যের চেয়ে বেশি।","মানুষটি আছে , ছিল যখন , মানুষটিকে ভালবাসার কথা কোনও মানুষ ভাবেনি । এবং তারপরে যে-পণ্যটি আমি তোমার কাছে বিক্রি করেছি, তা এই ব্যাপারে বাকি সমস্ত পণ্য থেকে আলাদা যে আমরা এই পণ্যটি সৃষ্টি করে ব্যবহার-মূল্য এবং এমন একটি মূল্য যা তার নিজের মূল্যের চেয়ে বেশি।"
"শ্রমিক-আন্দোলন, যা প্রত্যহ অধিকতর প্রয়োজন হয়ে উঠ ছিল, সেইআ্নদোলন ছাড়াও কারখানায় শ্রমের ঘণ্টা সীমাবদ্ধ করায় শংকাজনক হয়েছিল সেই তাগিদ থেকে, যার ফলে ইংল্যাণ্ডের ক্ষেতগুলি আগাছায় ভরে গিয়েছিল।","শ্রমিক-আন্দোলন, যা প্রত্যহ অধিকতর শংকাজনক হয়ে উঠ ছিল, সেই আন্দোলন ছাড়াও কারখানায় শ্রমের ঘণ্টা সীমাবদ্ধ করায় প্রয়োজন হয়েছিল সেই তাগিদ থেকে, যার ফলে ইংল্যাণ্ডের ক্ষেতগুলি আগাছায় ভরে গিয়েছিল।"
"যদি তাদের রুটি বাইরে পাঠাতে হয়, যেটি কৰে। দোকানে সরবরাহ করা ছাড়া সচরাচর ঘটে না, তখন তারা সাধারণত ঐ কাজের জন্য অন্য লোক নিয়োগ ব্যাপারীদের","যদি তাদের রুটি বাইরে পাঠাতে হয়, যেটি ব্যাপারীদের দোকানে সরবরাহ করা ছাড়া সচরাচর ঘটে না, তখন তারা সাধারণত ঐ কাজের জন্য অন্য লোক নিয়োগ কৰে।"
বিবাহের পরে এ কাঋ আরম্ভ করা অসম্ভব,বিবাহের পরে এ কাঋ আরম্ভ করা অসম্ভব।
তা হলে সামাজিক শ্রম দিবম দাড়ায় দশ মিিয়ন ঘণ্টা।,তা হলে সামাজিক শ্রম দিবম দাড়ায় দশ মিলিয়ন ঘণ্টা।
এখন একবা র কারখানা পরিদর্শকদের বক্তব্য সোনা যাক।,এখন একবার কারখানা পরিদর্শকদের বক্তব্য সোনা যাক।
"মার স্বর এত ক্ষীণ থাকিবে , মা শুনতে পাননি ।","আমার স্বর এত ক্ষীণ থাকিবে , মা শুনতে পাননি ।"
"এখন প্রশ্ন হয়ে উঠল স্বয়ং উদ্ধও শ্রমের উৎপাদন ঠিক এই জিনিসটি চুক্তিবদ্ধ শ্রমিকদের ক্ষেত্রেও দেখা গেল, যেমন দানিয়ুব নদীর পাশের রাজ্যগুলিতে ( বতমান রুমানিয়)। এবং তারপরে এ কাজ শেষ করতে গেলে আমাকে থাকতে হবে কেবল আত্মবয় স্বজন নয় যে কোনও মানুষেরই চোখের আড়ালে!","এখন প্রশ্ন হয়ে উঠল স্বয়ং উদ্ধও শ্রমের উৎপাদন ঠিক এই জিনিসটি চুক্তিবদ্ধ শ্রমিকদের ক্ষেত্রেও দেখা গেল, যেমন দানিয়ুব নদীর পাশের রাজ্যগুলিতে ( বতমান রুমানিয়)। এবং তারপরে এ কাজ শেষ করতে গেলে আমাকে থাকতে হবে কেবল আত্মবয় স্বজন নয় যে কোনও মানুষেরই চোখের আড়ালে!"
"সুনীল সশব্দে হাসিবে , কিষানের মোচের তলেও হাসি ঝিলিক দেয় । এবং তারপরে এই শেষোক্ত ধারাটিতেই প্রকাশ পাচ্ছে এই সেকেলে ঘরোয়া ধরনের শিল্পটিতে অতিরিক্ত খাটুনির বিপুল বোঝা।","সুনীল সশব্দে হাসিবে , কিষানের মোচের তলেও হাসি ঝিলিক দেয় । এবং তারপরে এই শেষোক্ত ধারাটিতেই প্রকাশ পাচ্ছে এই সেকেলে ঘরোয়া ধরনের শিল্পটিতে অতিরিক্ত খাটুনির বিপুল বোঝা।"
লিমেরিকের এনিস আসে। ও টিপেরারি-তে আন্দোলনে ভাটা দৃষ্টান্তে,লিমেরিকের দৃষ্টান্তে এনিস ও টিপেরারি-তে আন্দোলনে ভাটা আসে।
"এখনওও বহু ইংরেজ ও স্কচ কৃষিজেলায় মজুরি দেওয়া হয় পক্ষ হিসেবে , মাসিক হিসেবেও ।","এখনও বহু ইংরেজ ও স্কচ কৃষিজেলায় মজুরি দেওয়া হয় পক্ষ হিসেবে , মাসিক হিসেবেও ।"
"তুমি কে থাকিবে , মানুষ হিসেবে কত বড় ছিলে , হঠাৎ যেন টের পেলাম , হৃদয়ে , মস্তিষ্কে , টের পেলাম হাড়ে মজ্জায় । , তারও আগে তারও পিতা এই রকমই ছিলৗন।","তুমি কে থাকিবে , মানুষ হিসেবে কত বড় ছিলে , হঠাৎ যেন টের পেলাম , হৃদয়ে , মস্তিষ্কে , টের পেলাম হাড়ে মজ্জায় । , তারও আগে তারও পিতা এই রকমই ছিলৗন।"
মমসেন - ও যার ‘রোমের ইতিহাস’ - এ এ ধরনের ভুলের দ্বারা ভ ুল করেছেন ।,মমসেন - ও যার ‘রোমের ইতিহাস’ - এ এ ধরনের ভুলের দ্বারা ভুল করেছেন ।
"স্ববিরোধী ব্যাপারগুলির সঙ্গে সংঘর্ষ থেকে এই নিয়মটিকে রক্ষা করার চেষ্টায় চিরয়াত অর্থনীতি তাকে প্রচণ্ডভাবে নিষ্কর্ষিত করতে বাধ্য হয়েছে। এবং তারপরে এই শব বিশুদ্ধ দৈহিক সীমাবদ্ধতা ছাড়াও, শ্রম-দিবসকে দীর্ঘায়িত করার পথে বিবিধ নৈতিক সীমাবদ্ধতার সম্মুখীন হতে হয়।","স্ববিরোধী ব্যাপারগুলির সঙ্গে সংঘর্ষ থেকে এই নিয়মটিকে রক্ষা করার চেষ্টায় চিরয়াত অর্থনীতি তাকে প্রচণ্ডভাবে নিষ্কর্ষিত করতে বাধ্য হয়েছে। এবং তারপরে এই শব বিশুদ্ধ দৈহিক সীমাবদ্ধতা ছাড়াও, শ্রম-দিবসকে দীর্ঘায়িত করার পথে বিবিধ নৈতিক সীমাবদ্ধতার সম্মুখীন হতে হয়।"
"রিটায়ারমেন্টের সময় চলে আসছে , তাঁর প্রাপ্য আছে এ সময় এসোসিয়েট প্রফেসারের , , তিনি কোনও লোভ করেননি , এ তাঁর প্রাপ্য পদটি জুনিয়ররা এই পদ নিয়ে মাথার ওপর বসে আছে ।","রিটায়ারমেন্টের সময় চলে আসছে , তাঁর প্রাপ্য আছে এ সময় এসোসিয়েট প্রফেসারের পদটি , তিনি কোনও লোভ করেননি , এ তাঁর প্রাপ্য , জুনিয়ররা এই পদ নিয়ে মাথার ওপর বসে আছে ।"
"সময় এসে গেছে যখন প্রকাশ্যে, সাড়া জগতের সম্মখে কমিউনিস্টদের ঘোষণা করা উচিত তাদের মতামত কী, লক্ষ্য কী, তাদের ঝোঁক কোণ দিকে, এবং কমিউনিজমেরর ভূতে রএই আষাঢ়ে গল্পের জবাব দেওয়া উচিত পার্টির একটা ইশতেহার দিয়েই।","সময় এসে গেছে যখন প্রকাশ্যে, সাড়া জগতের সম্মখে কমিউনিস্টদের ঘোষণা করা উচিত তাদের মতামত কী, লক্ষ্য কী, তাদের ঝোঁক কোণ দিকে, এবং কমিউনিজমের ভূতের এই আষাঢ়ে গল্পের জবাব দেওয়া উচিত পার্টির একটা ইশতেহার দিয়েই।"
"আম ার স্বর এত ক্ষীণ থাকিবে , মা শুনতে পাননি ।","আমার স্বর এত ক্ষীণ থাকিবে , মা শুনতে পাননি ।"
"কিন্তু মূলধন, ইতিপূর্বেই যা উল্লেখ করা হয়েছে, শ্রম-প্রণালীর কৃৃৎ-কৌশলগত চৰিত্ৰ সম্পর্কে শুরুতে নিস্পৃহ থাকে; হাতের কাছে যা পাওয়া যায় তাই নিয়েই তার কাজ শুরু হয়।","কিন্তু মূলধন, ইতিপূর্বেই যা উল্লেখ করা হয়েছে, শ্রম-প্রণালীর কৃৎ-কৌশলগত চৰিত্ৰ সম্পর্কে শুরুতে নিস্পৃহ থাকে; হাতের কাছে যা পাওয়া যায় তাই নিয়েই তার কাজ শুরু হয়।"
"সুতরাংএ খানে একটি বিরোধিতা থেকে যায়, অধিকারের বিরুৰে অধিকার—দুটিই অবশ্য বহন করে বিনিময়ের নিয়মের ছাপ।","সুতরাং এখানে একটি বিরোধিতা থেকে যায়, অধিকারের বিরুৰে অধিকার—দুটিই অবশ্য বহন করে বিনিময়ের নিয়মের ছাপ।"
"সেই পুকুর ঘাট খালি পড়ে থাককিবে , গেতুঁর মা আর গেতুঁর বাবার লুঙ্গি গেঞ্জি কাচছে না , গেতুঁর মুতের কাঁথা কাচছে না , পুকুর পুকুরের মত পড়ে আছে একা , খলসে মাছ খলসে মাছের মত , গেঁতুর মা বসে থাকে গেতুঁর মা’র মত নয় , উঁইএর ঢিবির মত ।","সেই পুকুর ঘাট খালি পড়ে থাকিবে , গেতুঁর মা আর গেতুঁর বাবার লুঙ্গি গেঞ্জি কাচছে না , গেতুঁর মুতের কাঁথা কাচছে না , পুকুর পুকুরের মত পড়ে আছে একা , খলসে মাছ খলসে মাছের মত , গেঁতুর মা বসে থাকে গেতুঁর মা’র মত নয় , উঁইএর ঢিবির মত ।"
"এবং ইংল্যাণ্ডের কারখানা-আইনের চেয়ে অনেক উদারতার সঙ্গে, রেগ লিমেন্ট অর্গানিক এইআইন ফাকি দেবার সুবিধাজনক রাস্তা রেখেছিল।","এবং ইংল্যাণ্ডের কারখানা-আইনের চেয়ে অনেক উদারতার সঙ্গে, রেগ লিমেন্ট অর্গানিক এই আইন ফাকি দেবার সুবিধাজনক রাস্তা রেখেছিল।"
"বং খাবার পর বেশী তৃপ্তির ঢেকুর থাকিবে , সিগারেটের ধোঁয়াও যখন ছাড়ল , এত আয়েশ ছিল ওর ধোঁয়া ছাড়ায় , মনে হয়নি ও কাউকে খুঁজতে বেরিয়েছে , এবং খুঁজে পাওয়াটা অত্যন্ত জরুরি ।","বরং খাবার পর বেশী তৃপ্তির ঢেকুর থাকিবে , সিগারেটের ধোঁয়াও যখন ছাড়ল , এত আয়েশ ছিল ওর ধোঁয়া ছাড়ায় , মনে হয়নি ও কাউকে খুঁজতে বেরিয়েছে , এবং খুঁজে পাওয়াটা অত্যন্ত জরুরি ।"
যদি স কোণ একটি বিশেষ জায়গায় আটক থাকে তাহলে এইসব আর করা যায় না।,যদি সে কোণ একটি বিশেষ জায়গায় আটক থাকে তাহলে এইসব আর করা যায় না।
"নিকল মিশেল রিতা এই তিনজনের দুজন প্যারিসে নেই , একজন জানাল , ঠিক এই দিনটিতে কোনও এক বন্ধুর সঙ্গে তার কফি খাবার কথা ছিল , আর এ ব্যাপারটি পাকা হয়ে আছে গত চার মাস থেকে , সুতরাং হচ্ছে না । এবং মৌলবাদী সন্ত্রাসীরা আমার রক্ত চায় জানার পরও কোনও সুস্থ সাংবাদিক কি জানাবে আমি কোথায় থাকিব না আছি , এভাবে ?","নিকল মিশেল রিতা এই তিনজনের দুজন প্যারিসে নেই , একজন জানাল , ঠিক এই দিনটিতে কোনও এক বন্ধুর সঙ্গে তার কফি খাবার কথা ছিল , আর এ ব্যাপারটি পাকা হয়ে আছে গত চার মাস থেকে , সুতরাং হচ্ছে না । এবং মৌলবাদী সন্ত্রাসীরা আমার রক্ত চায় জানার পরও কোনও সুস্থ সাংবাদিক কি জানাবে আমি কোথায় থাকিব না আছি , এভাবে ?"
"চেহাকাই নয়, ভাষা পর্যন্ত বদলে গেছে তার। এবং তারপরে তার পায়ে পরানো ছিল দ্বিধার শেকল , তার মস্তিষ্কে পিঁড়ি পাতা আছে ভয়ের ।","চেহাকাই নয়, ভাষা পর্যন্ত বদলে গেছে তার। এবং তারপরে তার পায়ে পরানো ছিল দ্বিধার শেকল , তার মস্তিষ্কে পিঁড়ি পাতা আছে ভয়ের ।"
"মণি ছাদের সিঁড়িতে বেলগাছের ছায়ায় শুতে ঘুমোচ্ছে , বালতির ভেজা কাপড় বালতিতে পড় ে আছে , ছাদের দড়িতে নাড়া হয়নি এখনও ।","মণি ছাদের সিঁড়িতে বেলগাছের ছায়ায় শুতে ঘুমোচ্ছে , বালতির ভেজা কাপড় বালতিতে পড়ে আছে , ছাদের দড়িতে নাড়া হয়নি এখনও ।"
"তোমাকে নিয়েয ে আমার প্রচণ্ড অপরাধবোধ আছে , ব্যথা বেদনা ক্ৰোধ কান্না ছিল , তা থেকে মুক্তি পেতেই কি এই করি ?","তোমাকে নিয়ে যে আমার প্রচণ্ড অপরাধবোধ আছে , ব্যথা বেদনা ক্ৰোধ কান্না ছিল , তা থেকে মুক্তি পেতেই কি এই করি ?"
"তারপর তারা বিকেল চারটা, পাচটা, ছয়টা এবং এমনকি সন্ধ্যা সাতটা পর্যন্ত রুটি বয়ে নিয়ে যাওয়ার ক াজ করে, অথবা কখন কখন বিকেল বেলা আবার সেকবার ঘোরে আসে এবং বিস্কুট তৈরির কাজে সাহায্য করে।","তারপর তারা বিকেল চারটা, পাচটা, ছয়টা এবং এমনকি সন্ধ্যা সাতটা পর্যন্ত রুটি বয়ে নিয়ে যাওয়ার কাজ করে, অথবা কখন কখন বিকেল বেলা আবার সেকবার ঘোরে আসে এবং বিস্কুট তৈরির কাজে সাহায্য করে।"
"জেলার জনসংখ্যার ‘অবক্ষয় যে আরো কারণ হয়নি, তার বেশি পার্শ্ববর্তী অঞ্চল থেকে নিরন্তর কর্মী সংগ্রহ এবং অপেক্ষাকৃত।","জেলার জনসংখ্যার ‘অবক্ষয় যে আরো বেশি হয়নি, তার কারণ পার্শ্ববর্তী অঞ্চল থেকে নিরন্তর কর্মী সংগ্রহ এবং অপেক্ষাকৃত।"
"ও নিয়ে একটি শব্দ সে উচ্চারণ করল না , বলল না , অন্তত এরকম যে কাল আমার ব্যস্ততা থাকিবে , বা আমার কোথাও যাবার ছিল । এবং কিন্তু আমি ঠিক আগের মতই অভিযোগ পেয়ে চলেছি যে বিশ্রাম ও আহারের জন্য নির্দিষ্ট সময় কেটে শ্রমিকদের প্রতিদিন আধ ঘণ্টা থেকে পৌনে এক ঘণ্টা বঞ্চিত করা হচ্ছে।","ও নিয়ে একটি শব্দ সে উচ্চারণ করল না , বলল না , অন্তত এরকম যে কাল আমার ব্যস্ততা থাকিবে , বা আমার কোথাও যাবার ছিল । এবং কিন্তু আমি ঠিক আগের মতই অভিযোগ পেয়ে চলেছি যে বিশ্রাম ও আহারের জন্য নির্দিষ্ট সময় কেটে শ্রমিকদের প্রতিদিন আধ ঘণ্টা থেকে পৌনে এক ঘণ্টা বঞ্চিত করা হচ্ছে।"
"সাক্ষীর এই সাক্ষ্যের দ্বাা টরমনহের যুক্ত করেন , এটা সর্বজনবিদিত যে ঐসব ভেজালমিশ্রিত রুটি এমনি করে বিশেষভাবে বিক্রয়ের জন্য তৈরী হয় ।","সাক্ষীর এই সাক্ষ্যের দ্বারা টরমনহের যুক্ত করেন , এটা সর্বজনবিদিত যে ঐসব ভেজালমিশ্রিত রুটি এমনি করে বিশেষভাবে বিক্রয়ের জন্য তৈরী হয় ।"
"শ্যাম্পেন ছিল , পরতো আছে , মার্টিনি , ভদকা , হুইস্কি আছ ে , যে যা পান করো ।","শ্যাম্পেন ছিল , পরতো আছে , মার্টিনি , ভদকা , হুইস্কি আছে , যে যা পান করো ।"
মার্কস ও এঙ্গেলস কথাটা ব্যবহার করেছিিলেন শহরবাসী পেটি বুর্জোয়ার প্রতিক্রিয়াশীল অংশগুলির অর্থে।,মার্কস ও এঙ্গেলস কথাটা ব্যবহার করেছিলেন শহরবাসী পেটি বুর্জোয়ার প্রতিক্রিয়াশীল অংশগুলির অর্থে।
"কাকে দেব জলপদ্ম , এই পদ্য যে থাকিবে নেবার , তার যাবার তাড়া ছিল তাই চলে গেছে শীতের পাখির মত গেছে জলগ্রস্ত নাবিকের মত গেছে । এবং ভাবছিলাম ওই লাইম স্টোন কাটার বাইরে আর কী করতেন তিনি , ছোট্ট একটুকরো ঘরে বই আছে পড়ার , কাগজ কলম ছিল লেখার !","কাকে দেব জলপদ্ম , এই পদ্য যে থাকিবে নেবার , তার যাবার তাড়া ছিল তাই চলে গেছে শীতের পাখির মত গেছে জলগ্রস্ত নাবিকের মত গেছে । এবং ভাবছিলাম ওই লাইম স্টোন কাটার বাইরে আর কী করতেন তিনি , ছোট্ট একটুকরো ঘরে বই আছে পড়ার , কাগজ কলম ছিল লেখার !"
স্বামী থাকিবে সন্তান আছ ে তাদের যাইতে বলবেন ।,স্বামী থাকিবে সন্তান আছে তাদের যাইতে বলবেন ।
"গত একুশ বছর কেউ আমাককে জিজ্ঞেস করেনি আমি কোথায় ছিলাম , কেমন আছি ।","গত একুশ বছর কেউ আমাকে জিজ্ঞেস করেনি আমি কোথায় ছিলাম , কেমন আছি ।"
"এই পুলপান কে কই ছিলে , সব আসো , খাইতে বও বলে ঝিমিয়ে থাকা বাড়িকে কিলঘুসি মেরে জাগান । এবং তারপরে বান্ধবীরা বলে–তুই তো খুব সুখে থাকিবি শুনেছি , চমৎকার স্বামী পেয়েছিস ।","এই পুলপান কে কই ছিলে , সব আসো , খাইতে বও বলে ঝিমিয়ে থাকা বাড়িকে কিলঘুসি মেরে জাগান । এবং তারপরে বান্ধবীরা বলে–তুই তো খুব সুখে থাকিবি শুনেছি , চমৎকার স্বামী পেয়েছিস ।"
"ইসলাম সম্পর্কে সমালোচনা থাকিবে আমার এমন কোনও বই যদি এখন ছাপায় , তাহলে ঢাকায় ওদ ের নতুন শাখার ওপর মৌলবাদী আক্রমণ হওয়ার আশংকা আছে ।","ইসলাম সম্পর্কে সমালোচনা থাকিবে আমার এমন কোনও বই যদি এখন ছাপায় , তাহলে ঢাকায় ওদের নতুন শাখার ওপর মৌলবাদী আক্রমণ হওয়ার আশংকা আছে ।"
কখনো কখনো ট৪ায়।,কখনো কখনো ৪টায়।
"দানিয়েল শুনল , শুনেস্বস্তি পায় ।","দানিয়েল শুনল , শুনে স্বস্তি পায় ।"
"সুরঞ্জনের মনে হয় মায়াকে যারা নিয়ে গেছে , এই ছেটি নিশ্চয়ই থাকিবে তাদের মধ্যে , না হলে এত কান পেতে আছে কেন ? এবং তারপরে তারা বেঁচে আছে শুধু প্রথমতঃ জনসাধাণকে ঠকিয়ে এবং দ্বিতীয়ত তাদের শ্রমিকদের বারো ঘণ্টার মজুরি দিয়ে আঠারো ঘণ্টা খাটিয়ে।","সুরঞ্জনের মনে হয় মায়াকে যারা নিয়ে গেছে , এই ছেটি নিশ্চয়ই থাকিবে তাদের মধ্যে , না হলে এত কান পেতে আছে কেন ? এবং তারপরে তারা বেঁচে আছে শুধু প্রথমতঃ জনসাধাণকে ঠকিয়ে এবং দ্বিতীয়ত তাদের শ্রমিকদের বারো ঘণ্টার মজুরি দিয়ে আঠারো ঘণ্টা খাটিয়ে।"
মনিরুদ্দিন শুনলে মন বিষ করে ঘরে শুয়ে পড়ল েন ।,মনিরুদ্দিন শুনলে মন বিষ করে ঘরে শুয়ে পড়লেন ।
"হাতুডে অর্থনীতি যা বস্তুতঃ ককিছুই শেখে নি, তা যেমন অন্যত্র, তেমনি এক্ষেত্রেও, শুধু ব্যহত দৃশ্য ব্যাপারগুলিকেই আঁকড়ে থাকে এবং যে সাধারণ নিয়মটি তাদের নিয়ন্ত্রণ ও ব্যাখ্যা করতে পারে, সেটিকে বর্জন করে।","হাতুডে অর্থনীতি যা বস্তুতঃ কিছুই শেখে নি, তা যেমন অন্যত্র, তেমনি এক্ষেত্রেও, শুধু ব্যহত দৃশ্য ব্যাপারগুলিকেই আঁকড়ে থাকে এবং যে সাধারণ নিয়মটি তাদের নিয়ন্ত্রণ ও ব্যাখ্যা করতে পারে, সেটিকে বর্জন করে।"
"গত একুশ বছর কেউ আমাকে জিজ্ঞেস করেনি আমি কথোায় ছিলাম , কেমন আছি ।","গত একুশ বছর কেউ আমাকে জিজ্ঞেস করেনি আমি কোথায় ছিলাম , কেমন আছি ।"
"কারণ মমতা যে আমার স্ত্রী হবে, একথা বহুদিন শশতেই শুনে আসছি।","কারণ মমতা যে আমার স্ত্রী হবে, একথা বহুদিন শতেই শুনে আসছি।"
"ক্লান্তিতে তারা মুহ্যমান হয়ে পড়ে। , ক্যাফেতে ভিড় উপচে পড়ছে , লোকের বসার জায়গা নেই , দাঁড়িয়ে থাকিবে , কিন্তু আছে , বেরিয়ে যাচ্ছে না , দাঁড়িয়েই ওয়াইন পান করছে ।","ক্লান্তিতে তারা মুহ্যমান হয়ে পড়ে। , ক্যাফেতে ভিড় উপচে পড়ছে , লোকের বসার জায়গা নেই , দাঁড়িয়ে থাকিবে , কিন্তু আছে , বেরিয়ে যাচ্ছে না , দাঁড়িয়েই ওয়াইন পান করছে ।"
"এমন একটা শহর সম্ পর্কে কী ভাবা যায় বলুন তো, যেখানে মানুষের শ্রম দিবসকে আঠারো ঘণ্টায় নামিয়ে আনার জন্য একটি জনসভা থেকে আবেদন করতে হয়?","এমন একটা শহর সম্পর্কে কী ভাবা যায় বলুন তো, যেখানে মানুষের শ্রম দিবসকে আঠারো ঘণ্টায় নামিয়ে আনার জন্য একটি জনসভা থেকে আবেদন করতে হয়?"
বিবাহের পরে এ কাঋ আরম্ভ করা অসমভব।,বিবাহের পরে এ কাঋ আরম্ভ করা অসম্ভব।
