input,output
இளவரசன் உள்ள வந்தான் கண்டார்,இளவரசன் உள்ள வந்தான் கண்டார்
வித்யாதரன் தவிர்க்க வேண்டும் கூறினார் சிறிது சில,வித்யாதரன் தவிர்க்க கூறினார் வேண்டும்
முனிவர் ஆக மறுத்தார் மாறினார்,முனிவர் ஆக மறுத்தார் மாறினார்
மணிமேகலை சிறிது மீது விருப்பம்,மணிமேகலை மீது கொன்றார் விருப்பம்
உதயகுமாரன் முறைகள் பயன்படுத்த,உதயகுமாரன் முறைகள் கொன்றான் பயன்படுத்த
தெய்வம் மற்றும் கண்டான் சந்தித்தார்,தெய்வம் மற்றும் கண்டான் சந்தித்தார்
உதயகுமரன் தவிர்க்க கொன்றாள் வேண்டும்,உதயகுமாரன் தவிர்க்க கொன்றான் வேண்டும்
வஞ்சி ருந்து மறுத்தான் வந்தார்,வஞ்சி இருந்து மறுத்தான் வந்தார்
மமழை மாச நீர் ஆும்,மழை மாசு நீர் ஆகும்
பாட்டி உள்ள அழைத்தார் கண்டார்,பாட்டி உள்ள அழைத்தார் கண்டார்
காயசண்டிகை தீங்கு விரும்பினார் விளைவிக்கும்,காயசண்டிகை தீங்கு விரும்பினார் விளைவிக்கும்
மதுரை ஒருசில விளைவுகள் பார்த்தார் உள்ளன,மதுரை விளைவுகள் பார்த்தார் உள்ளன
கடல் கழிவுகள் பயணித்தான் சேர்த்தல்,கடல் கழிவுகள் பயணித்தான் சேர்த்தல்
சுதாமதி என்று கொன்றான் நினைத்தார்,சுதாமதி என்று கொன்றான் நினைத்தார்
காயசண்டிகை பார்த்தார் ஒருசில ஆனார்,காயசண்டிகை காரணமாக பார்த்தார் ஆனார்
மதுரை மீது தொடங்கினார் விருப்பம்,மதுரை மீது தொடங்கினார் விருப்பம்
காவேரிப்பட்டினம் மீது தப்பித்தான் விருப்பம்,காவேரிப்பட்டினம் மீது தப்பித்தான் விருப்பம்
மாதவி ஒருசில மற்றும் வந்தான் சந்தித்தான்,மாதவி மற்றும் வந்தார் சந்தித்தார்
அரவணஅடிகள் பாதிப்பு தப்பித்தான் ஏற்படுத்தும்,அரவணஅடிகள் பாதிப்பு தப்பித்தான் ஏற்படுத்தும்
மணிப்பவளம் சுத்தம் செய்ய தப்பித்தார்,மணிப்பவளம் சுத்தம் தப்பித்தார் செய்ய
நகரம் வந்தான் சிறிது பாதிப்பு முன்பு ஏற்படுத்தும்,நகரம் பாதிப்பு வந்தான் ஏற்படுத்தும்
வித்ாயதரன் விளைவுகள் ள்ளன,வித்யாதரன் விளைவுகள் वிரும்பினான் உள்ளன
சிலப்பதிகாரம் பிறகு செய்தார் சென்றார்,சிலப்பதிகாரம் பிறகு சென்றார் செய்தார்
துறவி பின்பு மீது தப்பித்தார் விருப்பம்,துறவி மீது தப்பித்தார் விருப்பம்
தீவு மீது மிகவும் தொடங்கினார் விரபு்பம்,தீவு மீது தொடங்கினார் விருப்பம்
பாத்திரம் என்று வந்தார் நினைத்தார்,பாத்திரம் என்று வந்தார் நினைத்தார்
வஞ்சி மிகவும் சில உள்ள விரும்பினார் கண்டார்,வஞ்சி உள்ள விரும்பினார் கண்டார்
உதயகுமாரன் பாதிப்பு மிகவும் ஏற்படுத்தும்,உதயகுமாரன் பாதிப்பு விரும்பினார் ஏற்படுத்தும்
நகரம் காரணமாக கண்டார் ஆனார்,நகரம் காரணமாக கண்டார் ஆனார்
பாட்டி பற்றி பேசினார்,பாட்டி வந்தான் பற்றி பேசினார்
காப்பியம் இருந்து தொடங்கினார் வந்தார்,காப்பியம் இருந்து தொடங்கினார் வந்தார்
நகரம் தீங்கு கொன்றான் விளைவி்கும்,நகரம் தீங்கு கொன்றார் விளைவிக்கும்
ஆபுத்திரன் இருந்து ஒருசில வந்தார்,ஆபுத்திரன் இருந்து அழைத்தான் வந்தார்
மணிப்பவளம் அழைத்தார் விளைவிக்கும்,மணிப்பவளம் தீங்கு அழைத்தார் விளைவிக்கும்
துறவி இல் மறுத்தார் நடைபெற்றது,துறவி இல் மறுத்தார் நடைபெற்றது
இந்திரன் தவிர்க்க வேண்டும்,இந்திரன் தவிர்க்க கண்டான் வேண்டும்
நகரம் பின்பு மற்றும் வந்தார் சந்தித்தார்,நகரம் மற்றும் வந்தார் சந்தித்தார்
விவசாயம் கழிவுகள் விவசாயம் சேர்த்தல்,விவசாயம் கழிவுகள் விவசாயம் சேர்த்தல்
காவேரிப்பட்டினம் உள்ள சென்றான் கண்டான்,காவேரிப்பட்டினம் உள்ள சென்றார் கண்டார்
நகரம் ஆக மறுத்தான் மாறினார்,நகரம் ஆக மறுத்தான் மாறினார்
காவேரிப்பட்டினம் பாதிப்பு மறுத்தாள் ஏற்படுத்தும்,காவேரிப்பட்டினம் பாதிப்பு மறுத்தான் ஏற்படுத்தும்
நுரையீரல் மாசு வெள்ளம் ஆகும்,நுரையீரல் மாசு வெள்ளம் ஆகும்
பாட்டி மீது விருப்பம்,பாட்டி மீது தப்பித்தான் விருப்பம்
மதுரை காரணங்கள் தப்பித்தார் முக்கியம்,மதுரை காரணங்கள் தப்பித்தார் முக்கியம்
ஜாவாதீவு இல் கனொ்றார் முன்பு நடைபெற்றது,ஜாவாதீவு இல் கொன்றார் நடைபெற்றது
மன்னன் தப்பித்தான் மீது விருப்ப்ம,மன்னன் மீது தப்பித்தான் விருப்பம்
இளவரசன் இல் வந்தான் நடைபெற்றது,இளவரசன் இல் வந்தார் நடைபெற்றது
வஞ்சி முன்பு பாதிப்பு தொடங்கினார் ஏற்படுத்தும்,வஞ்சி பாதிப்பு தொடங்கினார் ஏற்படுத்தும்
நதி மாசு கொன்றான் ஆகும்,நதி மாசு கொன்றான் ஆகும்
காயசண்டிகை பான்த்தான் நடைபெற்றது,காயசண்டிகை இல் பார்த்தார் நடைபெற்றது
பாடட்டி மற்றும் சந்தித்தார்,பாட்டி மற்றும் பேசினார் சந்தித்தார்
வித்யாதரன் விளைவுகள் உள்ளன,வித்யாதரன் விளைவுகள் மறுத்தான் உள்ளன
நகரம் கொன்றான் உள்ளன,நகரம் விளைவுகள் கொன்றான் உள்ளன
சிலப்பதிகாரம் காரணமாக பின்பு சென்றான் ஆனான்,சிலப்பதிகாரம் காரணமாக சென்றார் ஆனார்
ஜாவாதீவு இல் பார்த்தார் நடைபெற்றது,ஜாவாதீவு இல் பார்த்தார் நடைபெற்றது
தீவு விளைவிக்கும் கண்டான் தீங்கு,தீவு தீங்கு கண்டான் விளைவிக்கும்
விழா கொன்றான் சந்தித்தார்,விழா மற்றும் கொன்றான் சந்தித்தார்
மணிமேகலை மிகவும் ஆக விரும்பினாள் மாறினாள்,மணிமேகலை ஆக விரும்பினார் மாறினார்
மாசு மாசு கழிவு ஆகும்,மாசு மாசு கழிவு ஆகும்
துறவி இலல் பின்பு கண்டான் நடடைபெற்றது,துறவி இல் கண்டான் நடைபெற்றது
ஆபுத்திரன் காரணமாக ஆனான்,ஆபுத்திரன் காரணமாக வந்தான் ஆனார்
ஜாவாதீவு பாதிப்பு ஏற்படுத்தும்,ஜாவாதீவு பாதிப்பு அழைத்தார் ஏற்படுத்தும்
இந்திரன் சுத்தம் கொன்றான் செய்ய,இந்திரன் சுத்தம் கொன்றான் செய்ய
அரவணடிகள் இருந்து விரும்பினார் வந்தார்,அரவணஅடிகள் இருந்து விரும்பினார் வந்தார்
முனிவர் என்று மறுத்தான் நினைத்தார்,முனிவர் என்று மறுத்தான் நினைத்தார்
மாதவி என்று நினைத்தான்,மாதவி என்று கொன்றான் நினைத்தார்
மணிப்பவளம் மிகவும் இருந்து வந்தான் ஒருசில வந்தான்,மணிப்பவளம் இருந்து வந்தார் வந்தார்
ஜாவாதீவு உள்ள தப்பித்தார் கண்டார்,ஜாவாதீவு உள்ள தப்பித்தார் கண்டார்
நகரம் இல் நடைபெற்றது,நகரம் இல் கொன்றான் நடைபெற்றது
அரசி தப்பித்தான் தீங்கு முன்பு விளைவிக்கும்,அரசி தீங்கு தப்பித்தான் விளைவிக்கும்
அரவணடிகள் அழைத்தாள் சுத்தம் செய்ய,அரவணஅடிகள் சுத்தம் அழைத்தான் செய்ய
நகரம் கண்டான் விளைவிக்கும்,நகரம் தீங்கு கண்டான் விளைவிக்கும்
இளவரசன் நினைத்தார் வேண்டும்,இளவரசன் தவிர்க்க நினைத்தார் வேண்டும்
இளவரசன் முடித்ாதர் பற்றி பேசினான்,இளவரசன் முடித்தார் பற்றி பேசினார்
ஆபுத்திரன் பாதிப்பு ஏற்படுத்தும் கொன்றான்,ஆபுத்திரன் பாதிப்பு கொன்றான் ஏற்படுத்தும்
வாகனம் அழைத்தான் ஆகும்,வாகனம் மாசு அழைத்தான் ஆகும்
விழா விளைவுகள் உள்ளன நினைத்தார்,விழா விளைவுகள் நினைத்தார் உள்ளன
மாதவி ஆக கொன்றான் மாறினான்,மாதவி ஆக கொன்றான் மாறினார்
ஒளி கழிவுகள் ஒளளி சேர்த்தல்,ஒளி கழிவுகள் ஒளி சேர்த்தல்
சுதாமதி மற்றும் நினைத்தார் சந்தித்தார்,சுதாமதி மற்றும் நினைத்தார் சந்தித்தார்
மாதவி தீங்கு அழைத்தாள் விளைவிக்கும்,மாதவி தீங்கு அழைத்தான் விளைவிக்கும்
மதுரை சுத்தம் அழைத்தார் செயய,மதுரை சுத்தம் அழைத்தார் செய்ய
சுதாமதி வந்தார் தீங்ககு,சுதாமதி தீங்கு வந்தார் விளைவிக்கும்
தீவு மிகவும் உள்ள செய்தார் கண்டார்,தீவு உள்ள செய்தார் கண்டார்
சிலப்பதிகாரம் காரணணமாக மிகவும் முடித்தார் மிகவும் ஆனார்,சிலப்பதிகாரம் காரணமாக முடித்தார் ஆனார்
மதுரை விளைவுகள் மறுத்தான் உள்ளன,மதுரை விளைவுகள் மறுத்தார் உள்ளன
கோவலன் கொன்றார் வந்தார்,கோவலன் இருந்து கொன்றார் வந்தார்
காற்று முனபு கழிவுகள் நதி சேர்த்ல்,காற்று கழிவுகள் நதி சேர்த்தல்
பாத்திரம் மீது அழைத்தார் விருப்பம்,பாத்திரம் மீது அழைத்தார் விருப்பம்
நதி மாசு நில ஆகும்,நதி மாசு நில ஆகும்
இந்திரன் சில விளைவுகள் வந்தாள் உள்ளன,இந்திரன் விளைவுகள் வந்தான் உள்ளன
மதுரை முறைகள் செய்தான் பயன்படுத்த,மதுரை முறைகள் செய்தான் பயன்படுத்த
ஜாவாதீவு விளைவிக்கும் கண்டார் தீங்கு,ஜாவாதீவு தீங்கு கண்டார் விளைவிக்கும்
ஆபுத்திரன் நடைபெற்றது நினைத்தார் இல்,ஆபுத்திரன் இல் நினைத்தார் நடைபெற்றது
காவேரிப்பட்டினம் கொன்றான் கண்டார்,காவேரிப்பட்டினம் உள்ள கொன்றான் கண்டார்
அரவணடிகள் சுத்தம் அழைத்தான் செய்ய,அரவணஅடிகள் சுத்தம் அழைத்தார் செய்ய
ஆபுத்்திரன் சில பாதிப்பு செனற்ார் ஏற்படுத்தும்,ஆபுத்திரன் பாதிப்பு சென்றார் ஏற்படுத்தும்
சிலப்பதிகாரம் பின்பு என்று முன்பு மறுத்தான் நினைத்தார்,சிலப்பதிகாரம் என்று மறுத்தான் நினைத்தார்
ஜாவாதீவு ஆக செய்தார் மாறினார்,ஜாவாதீவு ஆக செய்தார் மாறினார்
துறவி முறைகள் முன்பு பயன்படுத்த,துறவி முறைகள் நினைத்தார் பயன்படுத்த
தொழிற்சாலை கழிவுகள் வெள்ளம் சேர்த்தல்,தொழிற்சாலை கழிவுகள் வெள்ளம் சேர்த்தல்
சிலப்பதிகாரம் இருந்து தொடங்கினார் வந்தார்,சிலப்பதிகாரம் இருந்து தொடங்கினார் வந்தார்
அரவணஅடிகள் தீங்கு முன்பு அழைத்தான் விளைவிக்கும்,அரவணஅடிகள் தீங்கு அழைத்தான் விளைவிக்கும்
காப்பியம் என்று நினைத்தார் நினைத்தார்,காப்பியம் என்று நினைத்தார் நினைத்தார்
மதுரை காரணங்கள் அழைத்தான் முக்கியம்,மதுரை காரணங்கள் அழைத்தான் முக்கியம்
மதருை உள்ள கண்டார்,மதுரை உள்ள பார்த்தார் கண்டார்
பாட்டி முறைகள் கண்டார் பயன்படுத்த,பாட்டி முறைகள் கண்டார் பயன்படுத்த
உதயகுமரன் மிகவும் கண்டான் பாதிப்பு ஏற்படுத்தும்,உதயகுமாரன் பாதிப்பு கண்டான் ஏற்படுத்தும்
மணிமேகலை முறைகள் பயன்படது்த,மணிமேகலை முறைகள் பேசினார் பயன்படுத்த
கோவலன் தவிர்க்க பயணித்தாள் வேண்டும்,கோவலன் தவிர்க்க பயணித்தான் வேண்டும்
மணிமேகலை தவிர்க்க பின்பு பார்த்தார் வேண்டும்,மணிமேகலை தவிர்க்க பார்த்தார் வேண்டும்
உதயகுமாரன் தவிர்க்க வேண்டும் கண்டார்,உதயகுமாரன் தவிர்க்க கண்டார் வேண்டும்
உதயகுமாரன் அழைத்தார் பற்றி முன்பு பேசினார்,உதயகுமாரன் அழைத்தார் பற்றி பேசினார்
முனிவர் இருந்து அழைத்தார் வந்தார்,முனிவர் இருந்து அழைத்தார் வந்தார்
வாகனம் மறுத்தான் மாசு ஆகும்,வாகனம் மாசு மறுத்தான் ஆகும்
ஆபுத்திரன் ஆக கண்டாள் மாறினாள்,ஆபுத்திரன் ஆக கண்டார் மாறினார்
வித்யாதரன் காரணமாக வந்தான் ஆனார்,வித்யாதரன் காரணமாக வந்தான் ஆனார்
இளவரசன் இருந்து நவ்தான் கண்டான்,இளவரசன் இருந்து கண்டான் வந்தார்
னம்னன் தீங்கு செய்தார் விளைவிக்கும்,மன்னன் தீங்கு செய்தார் விளைவிக்கும்
காயசண்டிைக பிறகு சென்றான் செய்தான்,காயசண்டிகை பிறகு சென்றார் செய்தார்
மதுரை விளைவுகள் முன்பு அழைத்தான் உள்ளன,மதுரை விளைவுகள் அழைத்தான் உள்ளன
துறவி காணரமாக பயணித்தான் ஆனார்,துறவி காரணமாக பயணித்தான் ஆனார்
அமுதசுபரி சில விளைவுகள் சென்றார் உள்ளன,அமுதசுரபி விளைவுகள் சென்றார் உள்ளன
துறவி உள்ள அழைத்தான் மிகவும் கண்டான்,துறவி உள்ள அழைத்தான் கண்டார்
பாட்டி அழைத்தான் பற்றி பேசினார்,பாட்டி அழைத்தான் பற்றி பேசினார்
பாட்டி பயன்படுத்த முடித்தான் முறைளக்,பாட்டி முறைகள் முடித்தார் பயன்படுத்த
வித்யாதரன் தவிர்க்க கண்டாளள் வேண்டும்,வித்யாதரன் தவிர்க்க கண்டான் வேண்டும்
தீவு இலல் கண்டாரர் நடைபெற்றது,தீவு இல் கண்டார் நடைபெற்றது
மதருை பார்த்தார் பற்றி பேசினார்,மதுரை பார்த்தார் பற்றி பேசினார்
ஆபுத்திரன் இல் वிரும்பினான் நடைபெற்றது,ஆபுத்திரன் இல் वிரும்பினான் நடைபெற்றது
தீவு வந்தார் இருந்து செய்தான்,தீவு இருந்து செய்தான் வந்தார்
மதுரை பின்பு பிறகு தப்பித்ாதன் செய்தான்,மதுரை பிறகு தப்பித்தான் செய்தார்
மன்னன் என்று கூறினான் நினைத்தான்,மன்னன் என்று கூறினார் நினைத்தார்
முனிவர் மறுத்தான் பற்றி பேசினார்,முனிவர் மறுத்தான் பற்றி பேசினார்
சிலப்பதிகாரம் வந்தார் பார்த்தார் சிறிது இருந்து,சிலப்பதிகாரம் இருந்து பார்த்தார் வந்தார்
இந்திரன் பாதிப்பு அழைத்தார் ஏற்படுத்தும்,இந்திரன் பாதிப்பு அழைத்தார் ஏற்படுத்தும்
அரசி உள்ள சிறிது செய்தான் கண்டான்,அரசி உள்ள செய்தான் கண்டார்
முனிவர் பாதிப்பு அழைத்தான் ஏற்படத்தம்,முனிவர் பாதிப்பு அழைத்தான் ஏற்படுத்தும்
மணிமேகலை ஆக वிரும்பினான் மாறினான்,மணிமேகலை ஆக वிரும்பினான் மாறினார்
தீவு ஆக மாறினான்,தீவு ஆக கண்டார் மாறினார்
சிலப்பதிகாரம் என்று சென்றாள் நினைத்தாள்,சிலப்பதிகாரம் என்று சென்றார் நினைத்தார்
இளவரசன் சில ஆக கொன்றான் மாறினான்,இளவரசன் ஆக கொன்றான் மாறினார்
கோவலன் முக்கியம் செய்தான் காரணங்ள்,கோவலன் காரணங்கள் செய்தான் முக்கியம்
தெய்வம் பான்த்தான் கண்டான்,தெய்வம் உள்ள பார்த்தார் கண்டார்
சுதாமதி என்று பேசினார் நினைத்தார்,சுதாமதி என்று பேசினார் நினைத்தார்
பாத்திரம் என்று கொன்றான் நினைத்தார்,பாத்திரம் என்று கொன்றான் நினைத்தார்
கோவலன் விளைவுகள் மறுத்தான் உள்ளன,கோவலன் விளைவுகள் மறுத்தான் உள்ளன
நதி மிகவும் மாசு கண்டான் சில ஆகும்,நதி மாசு கண்டான் ஆகும்
மதுரை மீது ப்பித்தான் பின்பு விருப்பம்,மதுரை மீது தப்பித்தான் விருப்பம்
சுத்தம் கழிவுகள் நில சேர்த்தல்,சுத்தம் கழிவுகள் நில சேர்த்தல்
நகரம் விளைவுகள் உள்ளன பயணித்தான்,நகரம் விளைவுகள் பயணித்தான் உள்ளன
பாத்திரம் மற்றும் சந்தித்தான் கொன்றான்,பாத்திரம் மற்றும் கொன்றார் சந்தித்தார்
தெய்வம் தீங்கு மறுத்தார் விளைவிக்கும்,தெய்வம் தீங்கு மறுத்தார் விளைவிக்கும்
ஆபுத்திரன் சென்றார் தவிர்க்க வேண்ும்,ஆபுத்திரன் தவிர்க்க சென்றார் வேண்டும்
சிலப்பதிகாரம் பனய்புடத்த செய்தார் முறைகள்,சிலப்பதிகாரம் முறைகள் செய்தார் பயன்படுத்த
உதயகுமாரன் மீது பார்த்தார் விருப்பம்,உதயகுமாரன் மீது பார்த்தார் விருப்பம்
முனிவர் மற்றும் தப்பித்தான் சந்தித்தார்,முனிவர் மற்றும் தப்பித்தான் சந்தித்தார்
நகரம் இருந்து வந்தான் செய்தான்,நகரம் இருந்து செய்தான் வந்தார்
காப்பியம் காரணமாக கண்டார் ஆனார்,காப்பியம் காரணமாக கண்டார் ஆனார்
நகரம் தவிர்க்க மிகவும் கண்ார் வேண்டும்,நகரம் தவிர்க்க கண்டார் வேண்டும்
வித்யாதரன் இல் செய்தார் நடைபெற்றது,வித்யாதரன் இல் செய்தார் நடைபெற்றது
மணிமேகலை காரணமாக செய்தான் ஆனான்,மணிமேகலை காரணமாக செய்தான் ஆனார்
மணிமேகலை காரணங்கள் சென்றார் முக்கியம்,மணிமேகலை காரணங்கள் சென்றார் முக்கியம்
மாதவி முறைகள் கொன்றார் பயன்படுத்த,மாதவி முறைகள் கொன்றார் பயன்படுத்த
மாதிவ இல் நடைபெற்றது,மாதவி இல் பேசினான் நடைபெற்றது
புற்றுநோய் மாச ஆகும் கொன்றான்,புற்றுநோய் மாசு கொன்றான் ஆகும்
காயசண்டிகை முறைகள் தொடங்கினான் பயன்படுத்த,காயசண்டிகை முறைகள் தொடங்கினார் பயன்படுத்த
முதரை விளைவுகள் சிறிது தப்பித்தான் உள்ளன,மதுரை விளைவுகள் தப்பித்தார் உள்ளன
அரசி மற்ுறம் தப்பித்தார் சந்தித்தார்,அரசி மற்றும் தப்பித்தார் சந்தித்தார்
பாட்டி என்று கண்டார் நினைத்தார்,பாட்டி என்று கண்டார் நினைத்தார்
ஆபுத்திரன் சில மீது அழைத்தார் விருப்பம்,ஆபுத்திரன் மீது அழைத்தார் விருப்பம்
மணிப்பவளம் காரணங்கள் கூறினார் முக்கியம்,மணிப்பவளம் காரணங்கள் கூறினார் முக்கியம்
சிலப்பதிகாரம் இல் நடைபெற்றது,சிலப்பதிகாரம் இல் தப்பித்தார் நடைபெற்றது
துறவி ஆக சென்றார் மாறினார்,துறவி ஆக சென்றார் மாறினார்
பாட்டி காரணமாக கண்டானன் ஆனார்,பாட்டி காரணமாக கண்டான் ஆனார்
இளவரசன் முடித்தார் பின்பு மாறினார்,இளவரசன் ஆக முடித்தார் மாறினார்
முனிவர் இல் கண்டான் நடைபெற்றது,முனிவர் இல் கண்டான் நடைபெற்றது
சுத்தம் கழிவுகள் மாசு சேர்த்தல்,சுத்தம் கழிவுகள் மாசு சேர்த்தல்
மனன்னன் இல் நடைபெற்றது,மன்னன் இல் விரும்பினார் நடைபெற்றது
இளவரசன் சென்றார் முன்பு இருந்து வந்தார்,இளவரசன் இருந்து சென்றார் வந்தார்
தெய்வம் முறைகள் பேசினாள் பயன்படுத்த,தெய்வம் முறைகள் பேசினான் பயன்படுத்த
வாகனம் மாசு ஒளி சிறிது ஆகும்,வாகனம் மாசு ஒளி ஆகும்
சுதாமதி மற்றும் வந்தான் சந்தித்தார்,சுதாமதி மற்றும் வந்தான் சந்தித்தார்
இந்திரன் உள்ள தொடங்கினார் கண்டார்,இந்திரன் உள்ள தொடங்கினார் கண்டார்
இளவரசன் சென்றார் ேசினார் பற்றி,இளவரசன் சென்றார் பற்றி பேசினார்
முனிவர் மீது தப்பித்தான் விருப்பம்,முனிவர் மீது தப்பித்தான் விருப்பம்
தெய்வம் காரணங்கள் செய்தான் முக்கியம்,தெய்வம் காரணங்கள் செய்தான் முக்கியம்
வித்யாதரன் மற்றும் பேசினான் சந்தித்தார்,வித்யாதரன் மற்றும் பேசினான் சந்தித்தார்
அமுதசுரபி தவிர்க்க மிகவும் முடித்தார் வேண்டும்,அமுதசுரபி தவிர்க்க முடித்தார் வேண்டும்
ஒளி ஆகும் புற்றுநோய் மாசு,ஒளி மாசு புற்றுநோய் ஆகும்
உதயகுமாரன் சுத்தம் செய்தான் செய்ய,உதயகுமாரன் சுத்தம் செய்தான் செய்ய
ஜாவாதீவு கொன்றான் வேண்டும்,ஜாவாதீவு தவிர்க்க கொன்றான் வேண்டும்
தீு கண்டான் முக்கியம்,தீவு காரணங்கள் கண்டான் முக்கியம்
அரவணஅடிகள் ஏற்படுத்தும் தப்பித்தார் பாதிப்பு,அரவணஅடிகள் பாதிப்பு தப்பித்தார் ஏற்படுத்தும்
விவசாயம் நுரையீரல் கழிவுகள் சேர்த்தல்,விவசாயம் கழிவுகள் நுரையீரல் சேர்த்தல்
மணிப்பவளம் உள்ள கண்டான் தப்பித்தான்,மணிப்பவளம் உள்ள தப்பித்தான் கண்டார்
நகரம் பிறகு பேசினான் செய்தார்,நகரம் பிறகு பேசினான் செய்தார்
முனிவர் ஆக வந்தான் சில மாறினார்,முனிவர் ஆக வந்தான் மாறினார்
மாதவி நினைத்தார் வந்தார்,மாதவி இருந்து நினைத்தார் வந்தார்
பாட்டி உள்ள வந்தான் மிகவும் கண்டார்,பாட்டி உள்ள வந்தான் கண்டார்
உதயகுமாரன் மறுத்தான் நடைபெற்றது இல்,உதயகுமாரன் இல் மறுத்தான் நடைபெற்றது
மணிப்பவளம் வந்தான் பற்றி பேசினார்,மணிப்பவளம் வந்தான் பற்றி பேசினார்
துறவி தீங்கு மிகவு்ம மறுத்தான் விளைவிக்கும்,துறவி தீங்கு மறுத்தார் விளைவிக்கும்
காப்பியம் விளைவுகள் கண்டான் உள்ளன,காப்பியம் விளைவுகள் கண்டான் உள்ளன
வெள்ளம் கடல் ஆகும்,வெள்ளம் மாசு கடல் ஆகும்
தீவு ஆக கூறினான் மாறினான்,தீவு ஆக கூறினார் மாறினார்
உதயகுமரன் விளைவுகள் உள்ளன,உதயகுமாரன் விளைவுகள் கண்டான் உள்ளன
உதயகுமாரன் மீது அழைத்தார் விருப்பம்,உதயகுமாரன் மீது அழைத்தார் விருப்பம்
காற்று கடல் சேர்த்தல்,காற்று கழிவுகள் கடல் சேர்த்தல்
நீர் மாசு பேசினான் ஆகும்,நீர் மாசு பேசினான் ஆகும்
மதுரை செய்தாள் வந்தாள் பிறகு,மதுரை பிறகு வந்தான் செய்தார்
அரசி சில கூறினார் காரணங்கள் முக்கியம்,அரசி காரணங்கள் கூறினார் முக்கியம்
ஆபுத்திரன் கண்டார் நடைபெற்றது மிகவும் இல்,ஆபுத்திரன் இல் கண்டார் நடைபெற்றது
ஆபுத்திரன் மீது சென்றார் விருப்பம்,ஆபுத்திரன் மீது சென்றார் விருப்பம்
பாட்டி தவிர்க்க அழைத்தான் வேண்டும்,பாட்டி தவிர்க்க அழைத்தான் வேண்டும்
அரவணஅடிகள் உள்ள பார்த்தார் கண்டார்,அரவணஅடிகள் உள்ள பார்த்தார் கண்டார்
அரசி பாதிப்பு செய்தார் ஏற்படுத்தும்,அரசி பாதிப்பு செய்தார் ஏற்படுத்தும்
சிலப்பதிகாரம் ஆக சிறிது செய்தான் மாறினார்,சிலப்பதிகாரம் ஆக செய்தான் மாறினார்
மணிமேகல மறுத்தாள் பற்றி பேசினாள்,மணிமேகலை மறுத்தார் பற்றி பேசினார்
அரவணடிகள் தவிர்க்க வேண்டும் மிகவும் செய்தான்,அரவணஅடிகள் தவிர்க்க செய்தான் வேண்டும்
அரவணஅடிகள் காரணங்களள் அழைத்தான் முக்கியம்,அரவணஅடிகள் காரணங்கள் அழைத்தான் முக்கியம்
காவேரிப்பட்டினம் காரணமாக கண்டார் ஆனார்,காவேரிப்பட்டினம் காரணமாக கண்டார் ஆனார்
சிலப்பதிகாரம் ஏற்படுத்தும் முன்பு பாதிப்பு,சிலப்பதிகாரம் பாதிப்பு பார்த்தார் ஏற்படுத்தும்
முனிவர் இருந்து மறுத்தான் வந்தான்,முனிவர் இருந்து மறுத்தான் வந்தார்
மணிமேகல கொன்றான் சந்தித்தார்,மணிமேகலை மற்றும் கொன்றான் சந்தித்தார்
காயசண்டிகை பாதிப்பு ஏற்படுத்தும்,காயசண்டிகை பாதிப்பு கொன்றார் ஏற்படுத்தும்
பாட்டி மீது கண்டார் விருப்பம்,பாட்டி மீது கண்டார் விருப்பம்
சுதாமதி பற்றி பேசினார்,சுதாமதி மறுத்தான் பற்றி பேசினார்
நதி சுத்தம் மிகவும் கழிவுகள் ஒருசில சேர்த்தல்,நதி கழிவுகள் சுத்தம் சேர்த்தல்
காயசண்டிகை தீங்கு செய்தார் விளைவிக்கும்,காயசண்டிகை தீங்கு செய்தார் விளைவிக்கும்
மணிமேகலை கொன்றார் ஆனார்,மணிமேகலை காரணமாக கொன்றார் ஆனார்
காப்பியம் செய்தார் விரும்பினார் பிறகு,காப்பியம் பிறகு விரும்பினார் செய்தார்
மதுரை விளைவுகளள் உள்ளன,மதுரை விளைவுகள் தொடங்கினார் உள்ளன
உதயகுமாரன் இல் கண்டார் நடைபெற்றது,உதயகுமாரன் இல் கண்டார் நடைபெற்றது
காவேரிப்பட்டினம் சுத்தம் முடித்தார் செய்ய,காவேரிப்பட்டினம் சுத்தம் முடித்தார் செய்ய
மாதவி ஆக மாறினான் கொன்றான்,மாதவி ஆக கொன்றான் மாறினார்
சுதாமதி கொன்றான் செய்தார்,சுதாமதி பிறகு கொன்றான் செய்தார்
